[1494938995013][**] $GPHDG,322.00,,,2.00,E*34
[1494938995073][*-] $GPVTG,358.00,T,,,0.10,N,0.19,K*1A
[1494938995133][*-] $GPVTG,358.00,T,,,0.10,N,0.19,K*1A
[1494938995195][**] $GPGGA,124954,5907.4750,N,01014.1000,E,1,04,2.00,0.00,M,,,*3C
[1494938995197][**] $GPRMC,124954,A,5907.4750,N,01014.1000,E,0.1000,358.000,160517,,*21
[1494938995262][**] $GPDBT,15.00,f,4.57,M,,*5C
[1494938995324][**] $GPVHW,,,322.00,M,0.00,N,0.00,K*0B
[1494938995382][**] $GPMTW,50.00,C*31
[1494938995444][**] $GPVHW,,,322.00,M,0.00,N,0.00,K*0B
[1494938995504][**] $GPMTW,-1.00,C*28
[1494938995564][**] $GPRSA,222.00,A,,,*26
[1494938995625][**] $GPVWR,156.00,R,7.70,N,,,,*5A
[1494938995686][**] $GPMWV,156.00,R,7.70,N,A*28
[1494938995747][**] $GPVWR,156.00,R,8.40,N,,,,*56
[1494938995801][**] $GPMWV,156.00,R,8.40,N,A*24
[1494938995866][**] $GPHDG,322.00,,,2.00,E*34
[1494938995927][*-] $GPVTG,358.00,T,,,0.10,N,0.19,K*1A
[1494938995983][*-] $GPVTG,358.00,T,,,0.10,N,0.19,K*1A
[1494938996045][**] $GPGGA,124955,5907.4750,N,01014.1000,E,1,04,2.00,0.00,M,,,*3D
[1494938996059][**] $GPRMC,124955,A,5907.4750,N,01014.1000,E,0.1000,358.000,160517,,*20
[1494938996274][**] $GPDBT,14.50,f,4.42,M,,*5C
[1494938996333][**] $GPVHW,,,322.00,M,0.00,N,0.00,K*0B
[1494938996392][**] $GPMTW,50.00,C*31
[1494938996452][**] $GPRSA,222.00,A,,,*26
[1494938996513][**] $GPVHW,,,322.50,M,0.00,N,0.00,K*0E
[1494938996574][**] $GPMTW,-1.00,C*28
[1494938996634][**] $GPVWR,142.00,R,8.40,N,,,,*53
[1494938996692][**] $GPMWV,142.00,R,8.40,N,A*21
[1494938996754][**] $GPVWR,142.00,R,7.70,N,,,,*5F
[1494938996812][**] $GPMWV,142.00,R,7.70,N,A*2D
[1494938997216][*-] $GPVTG,358.00,T,,,0.10,N,0.19,K*1A
[1494938997217][**] $GPHDG,322.00,,,2.00,E*34
[1494938997273][*-] $GPVTG,358.00,T,,,0.10,N,0.19,K*1A
[1494938997333][**] $GPGGA,124956,5907.4750,N,01014.1000,E,1,04,2.00,0.00,M,,,*3E
